Info Agent - MATRICULE;2024-03-01_DEB;2024-03-01_FIN;2024-03-02_DEB;2024-03-02_FIN;2024-03-04_DEB;2024-03-04_FIN;2024-03-05_DEB;2024-03-05_FIN;2024-03-06_DEB;2024-03-06_FIN;2024-03-07_DEB;2024-03-07_FIN;2024-03-08_DEB;2024-03-08_FIN;2024-03-09_DEB;2024-03-09_FIN;2024-03-11_DEB;2024-03-11_FIN;2024-03-12_DEB;2024-03-12_FIN;2024-03-13_DEB;2024-03-13_FIN;2024-03-14_DEB;2024-03-14_FIN;2024-03-15_DEB;2024-03-15_FIN;2024-03-16_DEB;2024-03-16_FIN;2024-03-18_DEB;2024-03-18_FIN;2024-03-19_DEB;2024-03-19_FIN;2024-03-20_DEB;2024-03-20_FIN;2024-03-21_DEB;2024-03-21_FIN;2024-03-22_DEB;2024-03-22_FIN;2024-03-23_DEB;2024-03-23_FIN;2024-03-25_DEB;2024-03-25_FIN;2024-03-26_DEB;2024-03-26_FIN;2024-03-27_DEB;2024-03-27_FIN;2024-03-28_DEB;2024-03-28_FIN;2024-03-29_DEB;2024-03-29_FIN;2024-03-30_DEB;2024-03-30_FIN;Activité - LIBELLE
1500001340;10:00:00;20:00:00;;;;;10:00:00;19:45:00;10:00:00;19:45:00;;;;;;;;;10:00:00;20:30:00;;;10:00:00;19:45:00;;;;;;;10:00:00;19:45:00;;;;;;;;;;;10:00:00;19:45:00;;;;;;;;;AGENT DE SÉCURITÉ
1500000306;;;;;;;;;;;10:00:00;19:45:00;;;;;;;;;10:00:00;19:45:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGENT DE SÉCURITÉ
0000004551;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;19:45:00;10:00:00;19:45:00;;;;;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;19:45:00;10:00:00;20:30:00;;;10:00:00;19:45:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;19:45:00;10:00:00;19:45:00;;;;;10:00:00;20:00:00;;;10:00:00;19:45:00;10:00:00;19:45:00;;;10:00:00;19:45:00;;;10:00:00;20:00:00;CHEF DE POSTE / AGENT DE SÉCURITÉ
1500000476;;;10:00:00;20:00:00;10:00:00;19:45:00;10:00:00;19:45:00;10:00:00;19:45:00;10:00:00;19:45:00;;;10:00:00;20:00:00;10:00:00;19:45:00;10:00:00;21:05:00;10:00:00;19:45:00;;;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;19:45:00;10:00:00;19:45:00;10:00:00;19:45:00;;;10:00:00;20:00:00;10:00:00;19:45:00;12:30:00;19:45:00;10:00:00;19:45:00;;;10:00:00;20:00:00;10:00:00;20:00:00;CHEF DE POSTE / AGENT DE SÉCURITÉ
1500001022;;;;;;;;;;;10:00:00;19:45:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGENT DE SÉCURITÉ
1500000813;10:00:00;20:00:00;;;;;;;;;;;;;;;;;;;;;10:00:00;19:45:00;10:00:00;20:00:00;10:00:00;20:00:00;;;;;10:00:00;19:45:00;;;;;;;;;;;;;;;;;;;AGENT DE SÉCURITÉ
0000000107;;;;;10:00:00;19:45:00;;;;;;;;;;;10:00:00;19:45:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGENT DE SÉCURITÉ
1500001043;;;;;;;;;;;;;10:00:00;20:00:00;;;;;;;10:00:00;19:45:00;;;;;;;10:00:00;19:45:00;;;;;;;10:00:00;20:00:00;;;10:00:00;19:45:00;;;;;;;10:00:00;19:45:00;;;AGENT DE SÉCURITÉ
1500000050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10:00:00;19:45:00;;;10:00:00;19:45:00;;;10:00:00;20:00:00;10:00:00;20:00:00;;;;;10:00:00;19:45:00;10:00:00;19:45:00;10:00:00;20:00:00;10:00:00;20:00:00;AGENT DE SÉCURITÉ
STAG5;;;;;;;;;;;;;10:00:00;11:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGENT DE SÉCURITÉ
1500001122;;;;;;;;;10:00:00;19:45:00;;;11:00:00;20:00:00;;;;;;;;;;;;;;;;;;;;;10:00:00;19:45:00;;;10:00:00;20:00:00;;;;;;;08:00:00;19:45:00;;;;;AGENT DE SÉCURITÉ
1500000121;;;10:00:00;20:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGENT DE SÉCURITÉ
1500001067;;;;;;;;;;;;;;;10:00:00;20:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGENT DE SÉCURITÉ
